Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_True Id,canonical_Id,canonical_Source,canonical_Site name,canonical_Address,canonical_Zip,canonical_Phone,canonical_Fax,canonical_Program Name,canonical_Length of Day,canonical_IDHS Provider ID,canonical_Agency,canonical_Neighborhood,canonical_Funded Enrollment,canonical_Program Option,canonical_Number per Site EHS,canonical_Number per Site HS,canonical_Director,canonical_Head Start Fund,canonical_Eearly Head Start Fund,canonical_CC fund,canonical_Progmod,canonical_Website,canonical_Executive Director,canonical_Center Director,canonical_ECE Available Programs,canonical_NAEYC Valid Until,canonical_NAEYC Program Id,canonical_Email Address,canonical_Ounce of Prevention Description,canonical_Purple binder service type,canonical_Column,canonical_Column2
42,0.9784975492062715,0,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'160607',b'1',b'cps_early_childhood_portal_scrape.csv',b'salvation army - temple / salvation army',b'1 n ogden',b'60607',b'2262649',b'',b'child care',b'half day/full day',b'',b'',b'near west side',b'salvation army',b'near west side',b'',b'',b'',b'',b'barbara martin',b'no',b'no',b'no',b'',b'',b'cp',b'',b'',b'',b'',b'',b'',b'child care'
42,0.9784975492062715,1,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'160607',b'1',b'cps_early_childhood_portal_scrape.csv',b'salvation army - temple / salvation army',b'1 n ogden',b'60607',b'2262649',b'',b'child care',b'half day/full day',b'',b'',b'near west side',b'salvation army',b'near west side',b'',b'',b'',b'',b'barbara martin',b'no',b'no',b'no',b'',b'',b'cp',b'',b'',b'',b'',b'',b'',b'child care'
44,0.9408294211765562,2,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'1060612',b'2',b'cps_early_childhood_portal_scrape.csv',b'national louis university - dr. effie o. ellis training center',b'10 s kedzie',b'60612',b'5339011',b'',b'child care',b'half day/full day',b'',b'',b'east garfield park',b'ymca of metropolitan chicago',b'east garfield park',b'',b'',b'',b'',b'anelyn jablo',b'yes',b'no',b'no',b'4364ps(hs collaboration with childcare & prek)',b'www.ymcachicago.org',b'dorothy cole-gary',b'anelyn jablo',b'',b'',b'',b'',b'',b''
44,0.9408294211765562,3,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'1060612',b'2',b'cps_early_childhood_portal_scrape.csv',b'national louis university - dr. effie o. ellis training center',b'10 s kedzie',b'60612',b'5339011',b'',b'child care',b'half day/full day',b'',b'',b'east garfield park',b'ymca of metropolitan chicago',b'east garfield park',b'',b'',b'',b'',b'anelyn jablo',b'yes',b'no',b'no',b'4364ps(hs collaboration with childcare & prek)',b'www.ymcachicago.org',b'dorothy cole-gary',b'anelyn jablo',b'',b'',b'',b'',b'',b''
733,0.851075141877821,4,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'1000160628',b'5',b'cps_early_childhood_portal_scrape.csv',b'board trustees-city colleges of chicago - olive-harvey college',b'10001 s woodlawn',b'60628',b'2916100',b'',b'child care',b'extended day',b'',b'',b'pullman',b'board trustees-city colleges of chicago',b'pullman',b'',b'',b'',b'',b'tiffany carter',b'yes',b'no',b'no',b'7056ps(hs collaboration with childcare & prek)',b'www.ccc.edu',b'phyllis daniels-ward',b'tiffany carter',b'',b'11/30/14',b'278168',b'tcarter63@ccc.edu',b'',b'child care'
733,0.851075141877821,5,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'1000160628',b'5',b'cps_early_childhood_portal_scrape.csv',b'board trustees-city colleges of chicago - olive-harvey college',b'10001 s woodlawn',b'60628',b'2916100',b'',b'child care',b'extended day',b'',b'',b'pullman',b'board trustees-city colleges of chicago',b'pullman',b'',b'',b'',b'',b'tiffany carter',b'yes',b'no',b'no',b'7056ps(hs collaboration with childcare & prek)',b'www.ccc.edu',b'phyllis daniels-ward',b'tiffany carter',b'',b'11/30/14',b'278168',b'tcarter63@ccc.edu',b'',b'child care'
3,0.9574163834659124,6,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'1001',b'6',b'cps_early_childhood_portal_scrape.csv',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'1001 w roosevelt rd',b'60608',b'9395115',b'',b'state pre-kindergarten',b'half day/full day',b'',b'',b'near west side',b'easter seals society of metropolitan chicago',b'near west side',b'',b'',b'',b'',b'ms. adrienne hamilton',b'yes',b'yes',b'yes',"b'4249it(child care it center), 7012ps(hs collaboration with c'",b'www.easterseaslchicago.org',b'barbara zawacki',b'morayma cancel',b'',b'',b'',b'',b'',b'child care'
3,0.9574163834659124,7,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'1001',b'6',b'cps_early_childhood_portal_scrape.csv',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'1001 w roosevelt rd',b'60608',b'9395115',b'',b'state pre-kindergarten',b'half day/full day',b'',b'',b'near west side',b'easter seals society of metropolitan chicago',b'near west side',b'',b'',b'',b'',b'ms. adrienne hamilton',b'yes',b'yes',b'yes',"b'4249it(child care it center), 7012ps(hs collaboration with c'",b'www.easterseaslchicago.org',b'barbara zawacki',b'morayma cancel',b'',b'',b'',b'',b'',b'child care'
158,0.8395693825087847,8,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Uptown Head Start / Hull House,1020 W Bryn Mawr Ave ,,7695753,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'102060660',b'8',b'cps_early_childhood_portal_scrape.csv',b'hull house association - uptown head start / hull house',b'1020 w bryn mawr',b'60660',b'7695753',b'',b'community partnerships',"b'8-11 hours, varies by facility'",b'',b'',b'',b'hull house association',b'edgewater',b'',b'',b'',b'',b'martha abarca',b'yes',b'no',b'no',b'7027ps(hs collaboration with childcare & prek)',b'',b'',b'',b'',b'',b'',b'',b'',b''
5,0.9999461770057678,9,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'1030',b'478',b'cps_early_childhood_portal_scrape.csv',b'hull house association - child dev. central office- hull house cds-homes',b'1030 w van buren st',b'',b'9068600',b'',b'child care',b'extended day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
